mV','seconds'
6.9667,0.00025
6.965,0.0005
6.965,0.00075
6.97,0.001
6.97,0.00125
6.9667,0.0015
6.9683,0.00175
6.9667,0.002
6.9667,0.00225
6.9633,0.0025
6.965,0.00275
6.9583,0.003
6.9583,0.00325
6.9617,0.0035
6.9583,0.00375
6.9533,0.004
6.9533,0.00425
6.9483,0.0045
6.9467,0.00475
6.9417,0.005
6.9417,0.00525
6.9367,0.0055
6.9367,0.00575
6.94,0.006
6.9367,0.00625
6.94,0.0065
6.94,0.00675
6.9417,0.007
6.9417,0.00725
6.9433,0.0075
6.9417,0.00775
6.9433,0.008
6.94,0.00825
6.945,0.0085
6.945,0.00875
6.95,0.009
6.9483,0.00925
6.9583,0.0095
6.9583,0.00975
6.9633,0.01
6.9633,0.01025
6.9683,0.0105
6.9683,0.01075
6.975,0.011
6.9733,0.01125
6.9817,0.0115
6.9833,0.01175
6.9917,0.012
6.9917,0.01225
7.005,0.0125
7.005,0.01275
7.0133,0.013
7.015,0.01325
7.01,0.0135
7.0083,0.01375
6.9817,0.014
6.98,0.01425
6.955,0.0145
6.955,0.01475
6.9433,0.015
6.9433,0.01525
6.945,0.0155
6.9433,0.01575
6.95,0.016
6.95,0.01625
6.955,0.0165
6.9533,0.01675
6.9517,0.017
6.9517,0.01725
6.9467,0.0175
6.9467,0.01775
6.94,0.018
6.94,0.01825
6.9217,0.0185
6.9217,0.01875
6.8917,0.019
6.89,0.01925
6.9117,0.0195
6.915,0.01975
7.01,0.02
7.0133,0.02025
7.0367,0.0205
7.0317,0.02075
7.0033,0.021
7.005,0.02125
7.0017,0.0215
7.0017,0.02175
6.995,0.022
6.9933,0.02225
6.9983,0.0225
6.9983,0.02275
7.0067,0.023
7.0067,0.02325
7.035,0.0235
7.0367,0.02375
7.07,0.024
7.0717,0.02425
7.0017,0.0245
6.9717,0.02475
7.265,0.025
7.3217,0.02525
7.0333,0.0255
7.3017,0.02575
6.8183,0.026
6.8033,0.02625
6.6217,0.0265
6.6183,0.02675
6.7233,0.027
6.73,0.02725
6.9167,0.0275
6.9233,0.02775
7.0267,0.028
7.03,0.02825
7.0617,0.0285
7.06,0.02875
7.02,0.029
7.0183,0.02925
6.9817,0.0295
6.98,0.02975
6.9683,0.03
6.97,0.03025
6.98,0.0305
6.9817,0.03075
6.9967,0.031
6.9967,0.03125
7.0067,0.0315
7.0067,0.03175
7.015,0.032
7.0133,0.03225
7.0217,0.0325
7.0217,0.03275
7.0333,0.033
7.0333,0.03325
7.0517,0.0335
7.0517,0.03375
7.0833,0.034
7.085,0.03425
7.1383,0.0345
7.14,0.03475
7.195,0.035
7.2317,0.03525
7.13,0.0355
7.1133,0.03575
6.9517,0.036
6.9817,0.03625
7.18,0.0365
7.145,0.03675
7.105,0.037
7.1067,0.03725
7.115,0.0375
7.1083,0.03775
7.065,0.038
7.0633,0.03825
7.0017,0.0385
7,0.03875
6.9533,0.039
6.9517,0.03925
6.9217,0.0395
6.92,0.03975
6.9017,0.04
6.9017,0.04025
6.895,0.0405
6.8967,0.04075
6.895,0.041
6.895,0.04125
6.9017,0.0415
6.9,0.04175
6.9083,0.042
6.9067,0.04225
6.9183,0.0425
6.92,0.04275
6.9283,0.043
6.9283,0.04325
6.94,0.0435
6.9417,0.04375
6.95,0.044
6.95,0.04425
6.9583,0.0445
6.9583,0.04475
6.9633,0.045
6.9617,0.04525
6.9667,0.0455
6.9667,0.04575
6.9717,0.046
6.9667,0.04625
6.97,0.0465
6.97,0.04675
6.975,0.047
6.975,0.04725
6.9833,0.0475
6.9833,0.04775
6.9917,0.048
6.9917,0.04825
7.0017,0.0485
7.0017,0.04875
7.0033,0.049
7.005,0.04925
7.0017,0.0495
7.0033,0.04975
7.0017,0.05
7,0.05025
7.005,0.0505
7.0033,0.05075
7.0067,0.051
7.0033,0.05125
7.0067,0.0515
7.005,0.05175
7.0017,0.052
7.0033,0.05225
7,0.0525
7,0.05275
6.9967,0.053
6.995,0.05325
6.9967,0.0535
6.9933,0.05375
6.9967,0.054
6.9967,0.05425
6.9933,0.0545
6.9933,0.05475
6.9917,0.055
6.9933,0.05525
6.9917,0.0555
6.9917,0.05575
6.99,0.056
6.9917,0.05625
6.995,0.0565
6.995,0.05675
7.0017,0.057
7.0017,0.05725
7.0083,0.0575
7.0083,0.05775
7.0133,0.058
7.0133,0.05825
7.02,0.0585
7.02,0.05875
7.0233,0.059
7.0233,0.05925
7.03,0.0595
7.0283,0.05975
7.04,0.06
7.04,0.06025
7.05,0.0605
7.0483,0.06075
7.0567,0.061
7.0567,0.06125
7.0533,0.0615
7.055,0.06175
7.0483,0.062
7.0483,0.06225
7.0367,0.0625
7.0367,0.06275
7.0283,0.063
7.0283,0.06325
7.025,0.0635
7.0283,0.06375
7.03,0.064
7.0283,0.06425
7.015,0.0645
7.0133,0.06475
6.985,0.065
6.985,0.06525
6.9667,0.0655
6.9683,0.06575
6.9667,0.066
6.9667,0.06625
6.97,0.0665
6.9667,0.06675
6.9717,0.067
6.9683,0.06725
6.975,0.0675
6.9733,0.06775
6.9783,0.068
6.9767,0.06825
6.9917,0.0685
6.9917,0.06875
7.005,0.069
7.0067,0.06925
7.0217,0.0695
7.0217,0.06975
7.015,0.07
7.02,0.07025
7.0033,0.0705
7.0017,0.07075
6.9333,0.071
6.9333,0.07125
7.0367,0.0715
7.0383,0.07175
6.9283,0.072
6.9517,0.07225
7.0183,0.0725
7.02,0.07275
7.0417,0.073
7.0417,0.07325
7.05,0.0735
7.0517,0.07375
7.0567,0.074
7.055,0.07425
7.0433,0.0745
7.0417,0.07475
7.0283,0.075
7.0267,0.07525
7.015,0.0755
7.015,0.07575
7.005,0.076
7.0067,0.07625
7.0033,0.0765
7.0033,0.07675
7.0067,0.077
7.0067,0.07725
7.0117,0.0775
7.01,0.07775
7.0017,0.078
7.0017,0.07825
6.99,0.0785
6.99,0.07875
6.97,0.079
6.97,0.07925
6.9567,0.0795
6.9567,0.07975
6.96,0.08
6.96,0.08025
6.9717,0.0805
6.9733,0.08075
6.9867,0.081
6.9867,0.08125
7.0017,0.0815
7.0033,0.08175
7.02,0.082
7.02,0.08225
7.0367,0.0825
7.0367,0.08275
7.04,0.083
7.0367,0.08325
7.0317,0.0835
7.0317,0.08375
7.0233,0.084
7.0233,0.08425
7.0167,0.0845
7.0167,0.08475
7.0133,0.085
7.0133,0.08525
7.01,0.0855
7.0117,0.08575
7.0083,0.086
7.0083,0.08625
7.01,0.0865
7.0083,0.08675
7.0167,0.087
7.015,0.08725
7.02,0.0875
7.02,0.08775
7.025,0.088
7.025,0.08825
7.0267,0.0885
7.0283,0.08875
7.0317,0.089
7.03,0.08925
7.0317,0.0895
7.0283,0.08975
7.0333,0.09
7.0317,0.09025
7.0367,0.0905
7.0367,0.09075
7.0417,0.091
7.0417,0.09125
7.045,0.0915
7.0433,0.09175
